num_sequences,mean_prediction,std_prediction,min_prediction,max_prediction,range,coefficient_variation
1,68.93122,0.0,68.93122,68.93122,0.0,0.0
2,63.715115,5.2161064,58.49901,68.93122,10.432213,8.186607
3,62.49231,4.5966296,58.49901,68.93122,10.432213,7.3555126
4,61.497715,4.3375573,58.49901,68.93122,10.432213,7.0532007
5,60.952126,4.030163,58.49901,68.93122,10.432213,6.6120133
6,60.318146,3.942693,57.148247,68.93122,11.782974,6.5364957
7,60.048237,3.7096162,57.148247,68.93122,11.782974,6.177727
8,59.714993,3.580285,57.148247,68.93122,11.782974,5.9956217
9,59.318848,3.5566313,56.149673,68.93122,12.781548,5.995786
10,58.8815,3.6202343,54.9454,68.93122,13.985821,6.1483393
11,58.37738,3.802105,53.33618,68.93122,15.595039,6.5129766
12,57.800144,4.112972,51.450565,68.93122,17.480656,7.1158504
13,57.760036,3.954057,51.450565,68.93122,17.480656,6.845662
14,57.37652,4.0533886,51.450565,68.93122,17.480656,7.064543
15,56.781948,4.503752,48.458,68.93122,20.47322,7.9316626
16,55.92512,5.4798136,43.072704,68.93122,25.858517,9.798483
17,55.176517,6.101519,43.072704,68.93122,25.858517,11.058181
18,54.974846,5.987628,43.072704,68.93122,25.858517,10.891578
19,55.07864,5.844542,43.072704,68.93122,25.858517,10.611268
20,55.50486,5.9918556,43.072704,68.93122,25.858517,10.795191
